customer_id,first_name,last_name,region,segment,age_band,annual_income_band,credit_tier,digital_engagement_score,customer_since
CUST00061,Reese,Miller,Southeast,Mass Affluent,65+,250K+,Super Prime,32,2025-02-28
CUST00062,Alex,Rivera,Southeast,Rate Shopper,50-64,<75K,Super Prime,63,2025-02-02
CUST00063,Jamie,Wilson,Southwest,Rate Shopper,30-39,125K-250K,Super Prime,87,2025-07-05
CUST00064,Quinn,Garcia,Northeast,Rate Shopper,50-64,75K-125K,Near Prime,93,2024-12-10
CUST00065,Alex,Chen,Northeast,Rate Shopper,50-64,75K-125K,Super Prime,48,2025-08-29
CUST00066,Morgan,Hill,Northeast,Digital Native,50-64,125K-250K,Super Prime,73,2025-01-23
CUST00067,Blake,Wilson,Midwest,Rate Shopper,18-29,<75K,Super Prime,53,2024-09-15
CUST00068,Jamie,Hill,Northeast,Mass Affluent,18-29,75K-125K,Prime,41,2024-02-01
CUST00069,Harper,Smith,Southwest,Mass Affluent,40-49,125K-250K,Prime,39,2025-07-31
CUST00070,Alex,Lopez,Southeast,Digital Native,65+,250K+,Super Prime,50,2024-04-20
CUST00071,Casey,Lopez,Northeast,Borrower,65+,<75K,Near Prime,30,2024-09-05
CUST00072,Parker,Chen,Midwest,Borrower,65+,125K-250K,Prime,78,2025-03-14
CUST00073,Parker,Smith,Southwest,Mass Affluent,30-39,250K+,Prime,91,2025-03-19
CUST00074,Taylor,Smith,Midwest,Borrower,50-64,125K-250K,Super Prime,56,2025-07-05
CUST00075,Jamie,Smith,Northeast,Digital Native,65+,250K+,Super Prime,28,2025-04-06
CUST00076,Taylor,Hill,Southwest,Digital Native,40-49,125K-250K,Super Prime,60,2024-07-05
CUST00077,Alex,Hill,West,Digital Native,18-29,75K-125K,Near Prime,77,2025-07-23
CUST00078,Taylor,Wilson,Southwest,Borrower,50-64,<75K,Prime,62,2024-09-03
CUST00079,Kendall,Patel,Southeast,Rate Shopper,50-64,125K-250K,Super Prime,95,2024-09-06
CUST00080,Jordan,Lopez,Midwest,Digital Native,40-49,75K-125K,Prime,49,2025-04-09
CUST00081,Emerson,Hill,Midwest,Mass Affluent,30-39,250K+,Super Prime,100,2025-07-02
CUST00082,Casey,Hill,West,Borrower,40-49,75K-125K,Super Prime,47,2024-10-16
CUST00083,Devon,Kim,Midwest,Mass Affluent,18-29,<75K,Near Prime,62,2025-06-30
CUST00084,Alex,Lopez,Southeast,Rate Shopper,50-64,250K+,Super Prime,68,2024-04-15
CUST00085,Taylor,Diaz,Southeast,Mass Affluent,18-29,250K+,Super Prime,34,2024-09-15
CUST00086,Devon,Lopez,West,Mass Affluent,18-29,75K-125K,Prime,96,2024-06-04
CUST00087,Jamie,Rivera,Southwest,Borrower,50-64,250K+,Super Prime,100,2025-09-02
CUST00088,Avery,Diaz,Southwest,Digital Native,30-39,75K-125K,Super Prime,35,2025-08-05
CUST00089,Blake,Garcia,Southeast,Emerging Affluent,18-29,250K+,Super Prime,85,2024-06-26
CUST00090,Kendall,Lopez,Midwest,Mass Affluent,50-64,<75K,Near Prime,54,2024-08-25
CUST00091,Reese,Diaz,Midwest,Borrower,65+,75K-125K,Near Prime,44,2024-07-21
CUST00092,Avery,Garcia,Midwest,Emerging Affluent,40-49,125K-250K,Super Prime,40,2024-03-14
CUST00093,Jordan,Wilson,Southwest,Digital Native,50-64,<75K,Near Prime,30,2025-02-16
CUST00094,Jordan,Adams,Southwest,Digital Native,18-29,75K-125K,Near Prime,98,2025-09-10
CUST00095,Avery,Garcia,West,Mass Affluent,50-64,250K+,Super Prime,48,2024-10-02
CUST00096,Blake,Wilson,West,Rate Shopper,40-49,250K+,Super Prime,66,2025-05-18
CUST00097,Reese,Wilson,Northeast,Emerging Affluent,40-49,250K+,Near Prime,29,2024-12-03
CUST00098,Jordan,Miller,Southwest,Mass Affluent,18-29,250K+,Near Prime,25,2024-11-18
CUST00099,Avery,Hill,West,Rate Shopper,65+,125K-250K,Near Prime,88,2025-02-27
CUST00100,Jordan,Evans,Southwest,Mass Affluent,40-49,250K+,Near Prime,87,2024-07-27
CUST00101,Emerson,Lopez,Northeast,Mass Affluent,65+,<75K,Near Prime,77,2024-09-02
CUST00102,Riley,Diaz,Northeast,Emerging Affluent,30-39,250K+,Near Prime,62,2024-04-26
CUST00103,Taylor,Wilson,West,Digital Native,30-39,250K+,Near Prime,43,2025-03-01
CUST00104,Devon,Chen,Southwest,Emerging Affluent,40-49,250K+,Super Prime,89,2025-09-05
CUST00105,Kendall,Wilson,Midwest,Mass Affluent,30-39,250K+,Near Prime,86,2024-10-16
CUST00106,Quinn,Smith,Midwest,Digital Native,40-49,75K-125K,Near Prime,55,2025-07-19
CUST00107,Reese,Baker,West,Rate Shopper,40-49,250K+,Near Prime,73,2024-08-27
CUST00108,Avery,Evans,Southwest,Emerging Affluent,65+,125K-250K,Prime,81,2025-05-22
CUST00109,Alex,Evans,Northeast,Borrower,50-64,75K-125K,Prime,85,2025-04-12
CUST00110,Blake,Miller,Midwest,Digital Native,65+,250K+,Super Prime,87,2025-02-11
CUST00111,Jamie,Lopez,West,Mass Affluent,30-39,<75K,Super Prime,37,2024-03-11
CUST00112,Kendall,Adams,Northeast,Rate Shopper,18-29,125K-250K,Prime,62,2024-06-19
CUST00113,Devon,Johnson,Midwest,Digital Native,65+,250K+,Near Prime,48,2025-03-17
CUST00114,Quinn,Johnson,Southeast,Emerging Affluent,50-64,75K-125K,Prime,84,2024-03-21
CUST00115,Alex,Smith,Midwest,Rate Shopper,40-49,75K-125K,Prime,81,2024-09-18
CUST00116,Reese,Kim,Midwest,Borrower,50-64,125K-250K,Prime,74,2024-11-02
CUST00117,Quinn,Patel,Southwest,Mass Affluent,65+,125K-250K,Near Prime,62,2024-08-30
CUST00118,Alex,Baker,Northeast,Rate Shopper,65+,250K+,Super Prime,54,2024-10-08
CUST00119,Harper,Kim,West,Digital Native,30-39,<75K,Near Prime,30,2024-08-12
CUST00120,Parker,Evans,Midwest,Rate Shopper,18-29,125K-250K,Super Prime,78,2024-02-04
CUST00121,Parker,Kim,Southeast,Emerging Affluent,30-39,125K-250K,Super Prime,62,2024-05-15
CUST00122,Blake,Evans,Midwest,Mass Affluent,30-39,250K+,Near Prime,71,2025-04-24
CUST00123,Jordan,Diaz,Northeast,Rate Shopper,50-64,125K-250K,Near Prime,58,2024-01-15
CUST00124,Casey,Johnson,West,Rate Shopper,50-64,<75K,Near Prime,96,2025-01-15
CUST00125,Blake,Smith,Midwest,Borrower,40-49,250K+,Prime,42,2024-08-14
CUST00126,Taylor,Diaz,Northeast,Mass Affluent,18-29,75K-125K,Near Prime,42,2024-11-07
CUST00127,Reese,Evans,Southwest,Rate Shopper,50-64,<75K,Super Prime,77,2025-01-14
CUST00128,Harper,Smith,Midwest,Mass Affluent,50-64,75K-125K,Super Prime,37,2025-01-14
CUST00129,Avery,Rivera,Midwest,Borrower,40-49,75K-125K,Prime,83,2025-01-02
CUST00130,Alex,Baker,Northeast,Emerging Affluent,40-49,75K-125K,Prime,97,2025-09-03
CUST00131,Harper,Hill,Southeast,Mass Affluent,30-39,125K-250K,Prime,25,2025-07-21
CUST00132,Jordan,Garcia,Midwest,Emerging Affluent,18-29,<75K,Prime,26,2024-05-13
CUST00133,Morgan,Adams,Midwest,Emerging Affluent,30-39,125K-250K,Prime,41,2025-08-25
CUST00134,Blake,Wilson,Southwest,Borrower,50-64,125K-250K,Near Prime,100,2024-04-26
CUST00135,Jamie,Baker,Northeast,Rate Shopper,65+,125K-250K,Super Prime,28,2025-05-30
CUST00136,Reese,Diaz,Northeast,Rate Shopper,50-64,250K+,Prime,35,2025-02-15
CUST00137,Blake,Evans,Midwest,Borrower,40-49,125K-250K,Super Prime,92,2024-05-31
CUST00138,Reese,Diaz,Midwest,Rate Shopper,18-29,75K-125K,Super Prime,82,2025-06-01
CUST00139,Riley,Rivera,Southeast,Rate Shopper,50-64,<75K,Super Prime,79,2024-12-13
CUST00140,Devon,Wilson,Midwest,Digital Native,18-29,<75K,Prime,36,2025-01-18
CUST00141,Devon,Baker,Southwest,Mass Affluent,65+,125K-250K,Near Prime,40,2025-01-16
CUST00142,Avery,Lopez,Southwest,Digital Native,65+,125K-250K,Super Prime,38,2025-03-09
CUST00143,Devon,Wilson,West,Borrower,30-39,<75K,Super Prime,96,2024-08-05
CUST00144,Jamie,Singh,Midwest,Mass Affluent,65+,<75K,Near Prime,59,2024-10-12
CUST00145,Kendall,Miller,Northeast,Emerging Affluent,40-49,<75K,Prime,43,2024-10-06
CUST00146,Devon,Adams,West,Rate Shopper,18-29,75K-125K,Super Prime,78,2024-03-12
CUST00147,Parker,Lopez,Southwest,Digital Native,40-49,<75K,Prime,44,2024-06-10
CUST00148,Blake,Kim,Southeast,Borrower,50-64,250K+,Super Prime,81,2024-02-20
CUST00149,Casey,Patel,Southwest,Digital Native,50-64,<75K,Super Prime,100,2024-08-08
CUST00150,Avery,Johnson,Southwest,Borrower,50-64,<75K,Prime,51,2024-11-11
CUST00151,Jordan,Lopez,Midwest,Emerging Affluent,40-49,<75K,Prime,88,2024-05-20
CUST00152,Quinn,Johnson,Southwest,Emerging Affluent,65+,125K-250K,Prime,75,2024-05-12
CUST00153,Riley,Chen,Northeast,Rate Shopper,40-49,250K+,Near Prime,76,2024-01-20
CUST00154,Quinn,Adams,Southwest,Digital Native,40-49,75K-125K,Near Prime,83,2024-04-27
CUST00155,Casey,Johnson,Midwest,Mass Affluent,50-64,250K+,Near Prime,35,2025-03-23
CUST00156,Jamie,Miller,Southwest,Digital Native,30-39,<75K,Near Prime,39,2024-12-13
CUST00157,Parker,Patel,West,Borrower,30-39,75K-125K,Prime,43,2024-07-17
CUST00158,Devon,Chen,Midwest,Emerging Affluent,30-39,250K+,Super Prime,97,2024-06-26
CUST00159,Morgan,Miller,West,Rate Shopper,30-39,250K+,Prime,85,2025-08-01
CUST00160,Avery,Patel,Southwest,Digital Native,65+,<75K,Super Prime,84,2024-10-08
CUST00161,Parker,Lopez,Southwest,Mass Affluent,18-29,<75K,Near Prime,89,2024-02-28
CUST00162,Avery,Smith,Southwest,Rate Shopper,65+,75K-125K,Super Prime,85,2025-08-17
CUST00163,Riley,Diaz,West,Emerging Affluent,40-49,<75K,Near Prime,47,2024-03-04
CUST00164,Riley,Garcia,Northeast,Emerging Affluent,40-49,125K-250K,Super Prime,74,2025-03-24
CUST00165,Avery,Miller,Southwest,Digital Native,18-29,125K-250K,Prime,96,2025-09-04
CUST00166,Devon,Miller,Southwest,Digital Native,18-29,75K-125K,Super Prime,64,2024-09-15
CUST00167,Blake,Lopez,Southwest,Emerging Affluent,65+,250K+,Near Prime,67,2025-09-01
CUST00168,Reese,Patel,Southeast,Borrower,18-29,125K-250K,Super Prime,48,2024-04-05
CUST00169,Harper,Johnson,Southeast,Digital Native,30-39,75K-125K,Prime,62,2025-05-12
CUST00170,Avery,Miller,Northeast,Borrower,65+,75K-125K,Near Prime,73,2025-07-06
CUST00171,Emerson,Smith,Southeast,Emerging Affluent,18-29,250K+,Super Prime,55,2024-07-04
CUST00172,Riley,Johnson,Southwest,Borrower,65+,75K-125K,Super Prime,85,2024-10-18
CUST00173,Riley,Smith,Southeast,Digital Native,40-49,250K+,Near Prime,92,2025-08-07
CUST00174,Devon,Kim,Southwest,Emerging Affluent,18-29,250K+,Super Prime,95,2024-07-23
CUST00175,Kendall,Chen,Northeast,Borrower,30-39,125K-250K,Super Prime,90,2024-05-07
CUST00176,Jamie,Smith,Southeast,Rate Shopper,40-49,<75K,Super Prime,31,2024-04-03
CUST00177,Jamie,Rivera,Southwest,Borrower,18-29,125K-250K,Prime,28,2025-01-17
CUST00178,Devon,Evans,Midwest,Mass Affluent,18-29,125K-250K,Super Prime,42,2024-12-09
CUST00179,Blake,Adams,Southwest,Rate Shopper,40-49,75K-125K,Prime,95,2024-01-06
CUST00180,Casey,Lopez,West,Borrower,30-39,125K-250K,Prime,31,2025-03-09
CUST00181,Blake,Diaz,Southeast,Rate Shopper,50-64,<75K,Near Prime,90,2025-04-13
CUST00182,Kendall,Singh,West,Emerging Affluent,18-29,125K-250K,Prime,98,2024-05-27
CUST00183,Parker,Chen,Southwest,Emerging Affluent,65+,<75K,Super Prime,85,2024-03-28
CUST00184,Jordan,Adams,Northeast,Rate Shopper,40-49,<75K,Super Prime,55,2025-01-17
CUST00185,Devon,Baker,Northeast,Borrower,40-49,125K-250K,Near Prime,47,2024-12-06
CUST00186,Devon,Chen,Southwest,Rate Shopper,50-64,<75K,Super Prime,50,2024-07-05
CUST00187,Morgan,Lopez,Northeast,Emerging Affluent,65+,250K+,Near Prime,85,2024-02-12
CUST00188,Kendall,Patel,Midwest,Mass Affluent,18-29,125K-250K,Super Prime,40,2024-07-14
CUST00189,Riley,Rivera,Midwest,Rate Shopper,40-49,75K-125K,Super Prime,88,2025-02-13
CUST00190,Blake,Singh,Midwest,Borrower,18-29,250K+,Near Prime,48,2024-09-30
CUST00191,Casey,Chen,West,Digital Native,40-49,125K-250K,Super Prime,82,2024-11-24
CUST00192,Riley,Patel,West,Rate Shopper,50-64,<75K,Near Prime,70,2024-06-19
CUST00193,Avery,Chen,West,Rate Shopper,50-64,125K-250K,Near Prime,45,2024-10-08
CUST00194,Avery,Evans,Northeast,Emerging Affluent,18-29,75K-125K,Near Prime,71,2025-03-24
CUST00195,Avery,Evans,Midwest,Rate Shopper,50-64,125K-250K,Super Prime,81,2025-08-03
CUST00196,Parker,Rivera,Northeast,Borrower,40-49,125K-250K,Prime,39,2024-05-20
CUST00197,Quinn,Diaz,Northeast,Emerging Affluent,40-49,125K-250K,Near Prime,82,2025-05-26
CUST00198,Taylor,Hill,Southeast,Borrower,18-29,75K-125K,Prime,82,2024-10-19
CUST00199,Morgan,Patel,Southeast,Rate Shopper,18-29,125K-250K,Super Prime,45,2024-03-30
CUST00200,Jamie,Diaz,Southeast,Digital Native,30-39,75K-125K,Prime,88,2025-06-04
CUST00201,Parker,Smith,Northeast,Digital Native,65+,75K-125K,Near Prime,36,2025-07-21
CUST00202,Taylor,Singh,Northeast,Digital Native,50-64,<75K,Prime,65,2025-02-11
CUST00203,Parker,Evans,Northeast,Rate Shopper,65+,75K-125K,Prime,80,2025-04-22
CUST00204,Devon,Lopez,West,Mass Affluent,30-39,75K-125K,Super Prime,53,2024-05-07
CUST00205,Blake,Kim,Midwest,Borrower,30-39,125K-250K,Prime,63,2024-10-17
CUST00206,Emerson,Evans,West,Borrower,30-39,125K-250K,Near Prime,30,2024-04-05
CUST00207,Jordan,Hill,Northeast,Mass Affluent,65+,250K+,Near Prime,28,2024-02-16
CUST00208,Kendall,Wilson,Southwest,Borrower,30-39,250K+,Super Prime,83,2024-10-23
CUST00209,Riley,Singh,Northeast,Mass Affluent,50-64,250K+,Prime,68,2024-06-10
CUST00210,Morgan,Patel,West,Emerging Affluent,50-64,75K-125K,Super Prime,90,2024-11-16
CUST00211,Jamie,Smith,West,Mass Affluent,18-29,125K-250K,Super Prime,56,2024-11-22
CUST00212,Kendall,Rivera,Southeast,Mass Affluent,65+,250K+,Prime,45,2024-02-21
CUST00213,Harper,Garcia,Midwest,Borrower,50-64,250K+,Super Prime,64,2024-11-16
CUST00214,Quinn,Smith,Southwest,Mass Affluent,30-39,75K-125K,Near Prime,70,2024-04-02
CUST00215,Taylor,Wilson,Northeast,Mass Affluent,40-49,<75K,Prime,80,2024-10-15
CUST00216,Quinn,Patel,Southeast,Digital Native,18-29,250K+,Prime,97,2025-01-09
CUST00217,Kendall,Chen,West,Emerging Affluent,50-64,250K+,Near Prime,60,2025-01-06
CUST00218,Devon,Diaz,West,Borrower,50-64,125K-250K,Super Prime,96,2024-05-01
CUST00219,Quinn,Baker,Midwest,Emerging Affluent,18-29,<75K,Prime,67,2024-07-22
CUST00220,Devon,Evans,Southwest,Borrower,40-49,125K-250K,Prime,75,2025-04-12
CUST00221,Morgan,Wilson,West,Digital Native,65+,125K-250K,Super Prime,27,2025-08-30
CUST00222,Reese,Lopez,Midwest,Digital Native,18-29,250K+,Super Prime,99,2024-04-22
CUST00223,Taylor,Garcia,West,Emerging Affluent,65+,250K+,Prime,56,2024-02-22
CUST00224,Harper,Adams,Northeast,Borrower,50-64,125K-250K,Super Prime,44,2024-04-22
CUST00225,Taylor,Baker,Southwest,Emerging Affluent,30-39,75K-125K,Near Prime,66,2025-02-24
CUST00226,Morgan,Garcia,Southwest,Borrower,50-64,125K-250K,Near Prime,70,2025-01-20
CUST00227,Harper,Johnson,Midwest,Borrower,40-49,125K-250K,Prime,63,2025-05-10
CUST00228,Morgan,Wilson,Midwest,Emerging Affluent,40-49,125K-250K,Super Prime,40,2025-05-15
CUST00229,Quinn,Patel,West,Borrower,30-39,125K-250K,Prime,61,2025-01-23
CUST00230,Jordan,Wilson,Northeast,Digital Native,30-39,75K-125K,Near Prime,59,2025-03-28
CUST00231,Casey,Johnson,West,Digital Native,30-39,<75K,Near Prime,92,2024-05-20
CUST00232,Casey,Singh,Southeast,Emerging Affluent,40-49,250K+,Prime,42,2024-02-23
CUST00233,Reese,Wilson,Northeast,Borrower,50-64,75K-125K,Super Prime,66,2024-06-10
CUST00234,Jamie,Baker,Midwest,Mass Affluent,30-39,250K+,Prime,29,2024-04-01
CUST00235,Kendall,Baker,Southwest,Rate Shopper,18-29,125K-250K,Near Prime,38,2024-07-09
CUST00236,Taylor,Evans,Midwest,Digital Native,65+,250K+,Super Prime,49,2025-04-10
CUST00237,Riley,Kim,Northeast,Digital Native,30-39,<75K,Near Prime,68,2024-06-15
CUST00238,Emerson,Rivera,Midwest,Borrower,50-64,125K-250K,Prime,76,2024-07-16
CUST00239,Taylor,Miller,Northeast,Emerging Affluent,30-39,<75K,Super Prime,74,2024-05-23
CUST00240,Morgan,Lopez,Southeast,Rate Shopper,65+,<75K,Super Prime,71,2024-09-30
CUST00241,Riley,Lopez,Southeast,Mass Affluent,30-39,250K+,Near Prime,89,2024-05-01
CUST00242,Parker,Johnson,Midwest,Mass Affluent,30-39,75K-125K,Super Prime,44,2024-10-29
CUST00243,Reese,Wilson,Southwest,Borrower,65+,75K-125K,Prime,35,2025-01-17
CUST00244,Parker,Chen,West,Rate Shopper,65+,<75K,Prime,95,2025-06-24
CUST00245,Devon,Garcia,West,Emerging Affluent,40-49,250K+,Prime,51,2025-08-09
CUST00246,Riley,Baker,West,Rate Shopper,50-64,75K-125K,Near Prime,78,2024-04-03
CUST00247,Riley,Lopez,Southwest,Borrower,18-29,250K+,Super Prime,25,2024-02-29
CUST00248,Avery,Singh,Southeast,Borrower,40-49,<75K,Near Prime,32,2024-03-15
CUST00249,Kendall,Singh,Northeast,Rate Shopper,30-39,75K-125K,Near Prime,78,2024-02-02
CUST00250,Quinn,Rivera,Midwest,Rate Shopper,18-29,75K-125K,Near Prime,69,2025-04-04
CUST00251,Quinn,Evans,Northeast,Emerging Affluent,30-39,<75K,Prime,63,2025-07-04
CUST00252,Quinn,Johnson,Southwest,Borrower,30-39,250K+,Super Prime,44,2025-03-10
CUST00253,Avery,Singh,Midwest,Emerging Affluent,65+,<75K,Prime,51,2024-04-25
CUST00254,Avery,Smith,Northeast,Mass Affluent,65+,<75K,Prime,30,2025-08-31
CUST00255,Harper,Baker,Southwest,Rate Shopper,30-39,125K-250K,Prime,98,2024-08-27
CUST00256,Morgan,Johnson,Midwest,Borrower,40-49,75K-125K,Near Prime,91,2025-09-04
CUST00257,Jordan,Baker,Southeast,Rate Shopper,65+,75K-125K,Near Prime,79,2024-11-03
CUST00258,Parker,Rivera,West,Rate Shopper,65+,125K-250K,Near Prime,78,2024-02-18
CUST00259,Quinn,Garcia,Southwest,Emerging Affluent,65+,250K+,Prime,53,2024-11-03
CUST00260,Avery,Singh,Midwest,Emerging Affluent,50-64,75K-125K,Super Prime,56,2025-04-19
CUST00261,Blake,Smith,Midwest,Emerging Affluent,40-49,<75K,Near Prime,49,2024-12-04
CUST00262,Avery,Chen,Northeast,Digital Native,30-39,75K-125K,Super Prime,51,2025-01-21
CUST00263,Harper,Hill,Midwest,Digital Native,18-29,250K+,Prime,51,2024-01-16
CUST00264,Morgan,Lopez,Southwest,Emerging Affluent,50-64,250K+,Near Prime,70,2025-07-19
CUST00265,Taylor,Smith,Midwest,Digital Native,18-29,250K+,Super Prime,51,2025-01-03
CUST00266,Avery,Johnson,Midwest,Digital Native,30-39,<75K,Super Prime,95,2025-02-27
CUST00267,Kendall,Evans,West,Borrower,30-39,125K-250K,Prime,73,2025-03-03
CUST00268,Morgan,Kim,West,Emerging Affluent,50-64,250K+,Super Prime,46,2025-05-26
CUST00269,Taylor,Garcia,Midwest,Emerging Affluent,65+,<75K,Near Prime,29,2024-05-23
CUST00270,Reese,Evans,Northeast,Mass Affluent,30-39,<75K,Near Prime,44,2024-01-07
CUST00271,Riley,Patel,Northeast,Emerging Affluent,18-29,250K+,Near Prime,87,2025-06-01
CUST00272,Reese,Adams,Northeast,Mass Affluent,18-29,125K-250K,Near Prime,61,2025-06-28
CUST00273,Emerson,Diaz,Northeast,Borrower,18-29,75K-125K,Prime,49,2025-03-16
CUST00274,Parker,Kim,West,Borrower,50-64,<75K,Super Prime,76,2024-09-15
CUST00275,Jamie,Lopez,Southwest,Borrower,18-29,<75K,Prime,76,2024-09-06
CUST00276,Taylor,Baker,Southwest,Rate Shopper,18-29,75K-125K,Prime,88,2025-07-19
CUST00277,Casey,Baker,Southwest,Digital Native,30-39,75K-125K,Near Prime,97,2025-08-02
CUST00278,Blake,Kim,Southwest,Digital Native,65+,<75K,Prime,65,2024-02-17
CUST00279,Devon,Rivera,Northeast,Emerging Affluent,18-29,125K-250K,Prime,97,2025-08-24
